%% Title: Database for predicting chess outcomes

@relation chess

@attribute material       REAL
@attribute attack-value   REAL
@attribute mobility       REAL
@attribute space          REAL
@attribute class          {1-0, 0-1, 1/2-1/2, *}

@data
22,8,40,17,1-0
39,5,42,8,0-1
36,7,42,10,1-0
35,6,49,12,1-0
34,14,43,19,1-0
38,3,27,2,0-1
38,5,47,11,1-0
25,7,30,6,0-1
32,5,35,3,1/2-1/2
35,5,40,7,0-1
35,6,44,9,0-1
36,5,40,8,1-0
29,7,43,9,1-0
34,10,34,8,0-1
32,6,44,10,1/2-1/2
32,4,41,7,1-0
33,8,50,10,1/2-1/2
38,9,44,13,1/2-1/2
32,10,42,16,1/2-1/2
37,11,53,13,1-0
36,1,27,2,0-1
32,2,38,9,1/2-1/2
26,11,42,13,0-1
33,4,39,4,0-1
39,11,35,5,1-0
26,15,34,7,1-0
36,4,42,9,1/2-1/2
38,5,41,8,1/2-1/2
32,7,34,7,1-0
38,8,36,8,0-1
35,5,29,7,0-1
32,4,41,7,1-0
37,4,41,9,1-0
35,3,43,8,1/2-1/2
36,7,41,6,1/2-1/2
31,8,37,11,1-0
35,6,39,8,1-0
29,10,41,6,0-1
32,6,34,4,1/2-1/2
39,4,35,7,1/2-1/2
30,4,35,4,1/2-1/2
36,7,53,21,1-0
38,5,44,9,1-0
37,7,40,5,1/2-1/2
34,7,47,10,1/2-1/2
34,3,40,8,1/2-1/2
37,7,39,9,1/2-1/2
33,6,26,1,1/2-1/2
35,5,41,7,0-1
38,5,42,11,1/2-1/2
26,11,42,13,1-0
37,7,39,8,1/2-1/2
36,10,46,15,1/2-1/2
34,5,40,10,1-0
35,7,45,8,1/2-1/2
32,3,28,2,1-0
34,6,46,11,1-0
33,15,42,19,1-0
31,7,39,5,0-1
36,5,33,4,1/2-1/2
36,6,33,6,1/2-1/2
32,5,40,13,1-0
35,12,53,16,1/2-1/2
36,10,39,13,1-0
34,7,40,8,0-1
36,4,33,2,1/2-1/2
31,6,42,11,1/2-1/2
39,5,41,9,1/2-1/2
35,6,36,7,1/2-1/2
38,6,38,8,1-0
38,1,29,2,1/2-1/2
38,10,43,13,1/2-1/2
35,5,38,13,1-0
33,6,35,4,0-1
39,3,40,6,1/2-1/2
36,2,35,4,1/2-1/2
34,10,42,12,1/2-1/2
35,8,28,5,1/2-1/2
35,6,44,14,1/2-1/2
38,5,44,11,1-0
35,8,35,6,0-1
22,4,26,4,1-0
31,11,46,13,1/2-1/2
36,5,34,4,1-0
38,2,35,5,1/2-1/2
39,9,36,8,1/2-1/2
31,6,39,14,1/2-1/2
35,3,34,5,0-1
32,5,41,11,1/2-1/2
37,9,54,15,1/2-1/2
38,8,38,10,1/2-1/2
32,6,40,9,1/2-1/2
26,9,30,3,0-1
35,7,33,7,1-0
32,13,38,7,1/2-1/2
34,5,41,10,1-0
22,8,32,6,1/2-1/2
37,7,37,9,1/2-1/2
34,13,53,22,1/2-1/2
31,5,38,6,1/2-1/2
33,5,33,5,1/2-1/2
31,9,46,13,1-0
29,5,32,1,1/2-1/2
36,5,36,8,1-0
35,11,46,15,1/2-1/2
32,7,45,9,0-1
33,5,37,6,1-0
35,6,45,10,1/2-1/2
36,4,34,4,1/2-1/2
34,11,49,17,1/2-1/2
34,2,34,5,1/2-1/2
25,6,38,8,1-0
35,6,45,10,1/2-1/2
35,5,42,9,1/2-1/2
39,3,33,4,1-0
33,15,44,16,0-1
35,8,50,11,1/2-1/2
34,6,42,11,1/2-1/2
35,5,35,4,1/2-1/2
34,5,44,14,1-0
34,13,46,11,1-0
35,5,38,8,0-1
35,6,45,7,1-0
36,4,46,12,0-1
36,8,29,3,1-0
34,7,46,11,1/2-1/2
28,9,40,7,1-0
39,5,39,9,1-0
32,6,35,11,0-1
35,6,51,14,1-0
35,6,37,5,1/2-1/2
32,7,42,8,1/2-1/2
39,7,38,7,1/2-1/2
28,5,39,10,0-1
38,1,35,6,0-1
32,6,33,4,1/2-1/2
35,5,43,10,1-0
35,9,39,10,1-0
35,8,44,11,0-1
32,7,37,7,1/2-1/2
38,5,40,13,1/2-1/2
26,5,32,6,1/2-1/2
35,3,33,5,1/2-1/2
31,11,46,16,1/2-1/2
34,10,42,12,1/2-1/2
35,6,45,10,1/2-1/2
36,5,34,2,1/2-1/2
34,17,43,20,1/2-1/2
32,9,36,6,1/2-1/2
34,10,46,13,1-0
37,8,47,12,1/2-1/2
35,4,38,6,1-0
35,4,31,1,1/2-1/2
33,15,42,19,1-0
32,4,33,3,1-0
36,3,34,6,1/2-1/2
30,5,35,11,1-0
29,3,36,3,0-1
35,7,41,7,1-0
32,10,41,8,1/2-1/2
34,4,37,8,1/2-1/2
38,6,37,8,1/2-1/2
25,5,28,12,1/2-1/2
36,6,39,8,1-0
39,7,31,4,1-0
32,5,33,2,1-0
25,6,37,12,1/2-1/2
35,5,34,5,1-0
38,8,46,12,1/2-1/2
35,3,37,4,0-1
35,6,45,10,0-1
36,2,34,5,1-0
33,7,29,1,1/2-1/2
35,7,38,11,1/2-1/2
32,4,36,5,1-0
35,6,39,6,1/2-1/2
36,7,41,7,0-1
25,8,41,13,1-0
25,6,35,10,0-1
34,13,56,18,1/2-1/2
32,6,38,6,1/2-1/2
35,7,43,5,1-0
36,7,40,9,0-1
35,6,38,12,1/2-1/2
35,5,38,7,1/2-1/2
38,11,30,7,1/2-1/2
26,4,33,9,1-0
35,5,42,10,1-0
32,6,36,4,1/2-1/2
33,7,37,6,0-1
21,8,37,15,1-0
38,5,37,6,1/2-1/2
35,3,36,9,1/2-1/2
25,7,33,9,1/2-1/2
34,9,39,5,1-0
35,8,43,11,0-1
34,13,41,9,1-0
35,7,44,13,1-0
32,2,44,9,1/2-1/2
36,16,44,10,1/2-1/2
25,7,43,11,1-0
29,11,45,18,1/2-1/2
32,9,39,12,1/2-1/2
35,7,33,7,1-0
35,6,45,10,0-1
39,5,39,7,1/2-1/2
33,7,37,9,1/2-1/2
37,6,49,10,1-0
35,6,37,8,1/2-1/2
35,6,31,5,1/2-1/2
36,3,30,2,0-1
38,8,48,12,0-1
35,9,34,7,0-1
38,9,32,6,1-0
35,7,42,8,1/2-1/2
36,6,32,9,1-0
35,7,39,8,1/2-1/2
34,5,49,10,1/2-1/2
36,2,36,2,0-1
35,3,34,2,1/2-1/2
32,4,29,2,1-0
38,4,45,8,1/2-1/2
36,2,32,3,0-1
32,3,41,8,1/2-1/2
39,7,40,7,1/2-1/2
30,13,35,6,1-0
32,7,39,10,0-1
37,10,37,14,0-1
35,5,25,3,1/2-1/2
35,6,48,9,1/2-1/2
35,4,38,4,1/2-1/2
38,7,37,10,0-1
38,9,38,10,1/2-1/2
37,12,48,14,1/2-1/2
39,6,42,9,1-0
33,4,30,2,0-1
32,10,36,5,0-1
35,5,47,10,1-0
35,8,41,2,1/2-1/2
35,7,40,10,1-0
33,3,30,4,1/2-1/2
25,13,28,13,1-0
35,5,44,8,0-1
33,7,35,5,0-1
38,6,47,13,1-0
34,5,40,11,1/2-1/2
32,5,42,7,1/2-1/2
35,6,31,2,1/2-1/2
36,2,33,3,1/2-1/2
23,4,30,5,1/2-1/2
34,3,33,6,1-0
28,6,41,10,1/2-1/2
35,4,35,5,1/2-1/2
32,5,35,9,1/2-1/2
35,4,32,5,1/2-1/2
23,8,37,9,1/2-1/2
33,5,36,6,1/2-1/2
38,6,32,4,1-0
32,3,41,6,1/2-1/2
38,6,40,9,1/2-1/2
35,5,34,4,1-0
34,6,38,9,1/2-1/2
22,14,33,16,1/2-1/2
34,15,40,4,1-0
32,7,47,15,1/2-1/2
33,3,34,2,1/2-1/2
26,7,40,7,1/2-1/2
35,7,50,10,1/2-1/2
34,8,49,13,0-1
35,3,45,10,1-0
35,12,44,16,1/2-1/2
34,9,44,8,1/2-1/2
33,9,33,6,0-1
26,5,38,7,1/2-1/2
35,8,35,8,1-0
35,5,38,6,1-0
35,9,36,5,1-0
32,5,35,7,1/2-1/2
31,9,45,10,1/2-1/2
31,8,42,10,1-0
38,3,34,7,1-0
34,3,47,10,1/2-1/2
38,5,38,6,1-0
32,5,42,8,1-0
32,8,45,16,0-1
35,3,28,2,1-0
18,5,23,3,1/2-1/2
38,4,29,5,1/2-1/2
34,5,34,5,0-1
38,8,36,9,0-1
35,5,35,6,0-1
36,4,37,7,1-0
35,3,45,10,1/2-1/2
32,20,44,26,0-1
35,5,35,4,1/2-1/2
32,4,32,5,1-0
32,6,49,14,1-0
36,6,32,7,0-1
32,10,44,11,1/2-1/2
30,14,41,11,1/2-1/2
34,7,45,11,0-1
34,14,49,21,1/2-1/2
34,5,45,9,0-1
36,10,39,16,1/2-1/2
34,4,30,5,1-0
31,7,38,9,1/2-1/2
35,7,45,11,1/2-1/2
34,4,46,10,1-0
39,7,35,9,1/2-1/2
32,5,47,10,1/2-1/2
35,8,42,10,0-1
37,6,42,12,0-1
26,7,31,6,1-0
30,7,42,12,1/2-1/2
35,6,45,10,1/2-1/2
35,8,39,9,1/2-1/2
38,3,39,8,1-0
37,12,45,8,1/2-1/2
39,5,41,8,1-0
36,10,27,2,1/2-1/2
33,3,26,1,1-0
34,7,48,11,1/2-1/2
35,8,44,10,1-0
35,7,45,9,1-0
35,6,45,10,1/2-1/2
25,4,42,7,1-0
33,2,30,5,1/2-1/2
33,6,34,6,1/2-1/2
35,6,45,10,0-1
35,4,35,7,1/2-1/2
35,8,41,2,1/2-1/2
29,4,32,7,1/2-1/2
33,10,39,6,1/2-1/2
33,3,30,4,1-0
34,3,43,7,1-0
23,3,34,7,1-0
35,9,47,14,1-0
36,6,35,9,1/2-1/2
36,13,38,8,1/2-1/2
25,4,33,7,0-1
34,8,37,8,1/2-1/2
35,6,35,5,1/2-1/2
31,7,43,9,1-0
27,10,33,4,1/2-1/2
31,5,33,4,1/2-1/2
33,8,42,12,1/2-1/2
34,16,44,14,0-1
35,8,41,14,1/2-1/2
32,5,38,8,1/2-1/2
37,4,35,6,0-1
38,6,42,7,0-1
33,7,46,13,1-0
29,9,41,9,0-1
36,8,37,8,1/2-1/2
31,6,38,8,0-1
33,4,33,6,1/2-1/2
31,7,44,11,1-0
32,6,39,10,0-1
35,6,36,7,1-0
35,9,37,5,0-1
35,10,51,18,1/2-1/2
37,4,39,8,0-1
32,7,32,3,1-0
32,12,36,8,1/2-1/2
35,5,39,10,1-0
34,4,50,16,1/2-1/2
31,4,40,8,1/2-1/2
39,5,39,7,1/2-1/2
36,4,40,7,0-1
35,5,33,3,0-1
35,4,37,5,1-0
36,6,43,13,1/2-1/2
26,5,36,7,1-0
34,15,38,10,1/2-1/2
31,9,40,11,1/2-1/2
35,9,46,12,1/2-1/2
38,5,36,5,1-0
34,9,44,10,0-1
25,6,30,9,1/2-1/2
31,9,43,14,1/2-1/2
35,5,39,5,1/2-1/2
35,4,37,8,1-0
38,9,38,10,0-1
32,4,41,7,1/2-1/2
35,6,33,5,1/2-1/2
36,8,43,10,0-1
37,10,52,15,1/2-1/2
34,10,48,18,0-1
29,7,39,7,1-0
31,9,48,12,0-1
35,6,33,4,1-0
33,7,36,6,1/2-1/2
35,5,37,7,1/2-1/2
35,5,32,4,0-1
38,6,38,6,0-1
32,3,38,7,1/2-1/2
38,11,38,10,0-1
39,5,38,6,0-1
34,4,42,8,0-1
34,4,46,10,1-0
34,11,36,12,1-0
35,7,37,7,1/2-1/2
28,10,40,6,1-0
35,6,46,10,1-0
34,10,50,17,1-0
32,4,37,7,1/2-1/2
33,9,37,6,1/2-1/2
29,13,29,15,1/2-1/2
27,4,34,5,0-1
31,8,44,11,1/2-1/2
36,2,34,6,1/2-1/2
34,3,40,9,0-1
32,7,32,6,1/2-1/2
35,3,36,4,1/2-1/2
31,12,32,4,1-0
36,5,36,6,1-0
33,5,34,3,1/2-1/2
32,6,42,8,1-0
30,14,42,17,1/2-1/2
31,5,40,9,1-0
32,9,32,8,0-1
38,6,43,12,1/2-1/2
25,4,32,7,1/2-1/2
34,13,47,15,1/2-1/2
26,10,36,13,1/2-1/2
35,9,51,13,1/2-1/2
31,17,39,18,1/2-1/2
39,5,35,7,1/2-1/2
32,13,43,20,1/2-1/2
34,7,44,9,1-0
26,6,37,13,1/2-1/2
34,14,45,18,1-0
23,4,31,6,1/2-1/2
36,5,42,11,0-1
38,7,47,16,1/2-1/2
37,4,41,11,1-0
23,10,33,12,1/2-1/2
38,10,40,13,1-0
34,9,35,7,1-0
34,9,44,8,0-1
31,7,33,5,0-1
28,7,38,10,1/2-1/2
22,2,25,2,0-1
34,8,45,17,1/2-1/2
34,10,45,14,1-0
23,5,30,7,1/2-1/2
35,4,44,10,1/2-1/2
34,8,37,5,1/2-1/2
35,4,42,7,1/2-1/2
35,7,40,2,1/2-1/2
33,13,39,10,1/2-1/2
34,12,44,11,1/2-1/2
35,3,35,4,1/2-1/2
38,4,34,7,1/2-1/2
25,6,30,9,1/2-1/2
34,3,45,9,1/2-1/2
30,8,30,11,0-1
35,2,36,5,1/2-1/2
35,6,30,3,1-0
35,6,38,9,0-1
38,7,43,9,1-0
33,14,48,22,1/2-1/2
33,4,35,3,1-0
32,10,52,10,0-1
34,3,41,7,1/2-1/2
29,7,36,7,0-1
32,5,35,3,1/2-1/2
35,3,37,9,0-1
35,4,46,8,0-1
38,4,47,10,1/2-1/2
36,5,31,2,0-1
26,42,35,17,1-0
35,3,38,8,1/2-1/2
35,7,45,14,0-1
36,8,43,11,1-0
35,4,40,5,1/2-1/2
36,4,30,3,1-0
31,7,43,8,1-0
29,12,42,15,1/2-1/2
25,14,44,16,1-0
29,11,41,6,1/2-1/2
26,9,37,10,1/2-1/2
36,5,40,6,1-0
35,6,45,10,1-0
18,9,23,4,1/2-1/2
35,8,53,16,1/2-1/2
38,2,30,4,1/2-1/2
32,4,39,6,1/2-1/2
34,12,42,8,1-0
25,4,29,3,0-1
32,10,42,12,1-0
31,12,44,14,1-0
39,4,36,5,0-1
32,5,39,2,1-0
32,5,39,2,1-0
28,5,36,7,1/2-1/2
35,4,47,10,1/2-1/2
35,9,31,4,0-1
31,9,45,11,1/2-1/2
34,8,45,9,1-0
39,5,33,7,1/2-1/2
37,6,46,13,1-0
38,9,52,18,1/2-1/2
32,3,41,6,1/2-1/2
25,7,30,9,1/2-1/2
34,3,37,9,1/2-1/2
33,7,52,19,1-0
36,4,36,6,0-1
35,8,46,9,1/2-1/2
31,4,39,11,1/2-1/2
34,2,37,10,1-0
32,4,38,6,0-1
37,9,37,10,1/2-1/2
35,6,46,10,1/2-1/2
34,3,49,14,1/2-1/2
35,5,32,6,1-0
34,7,37,7,1-0
34,6,49,13,1/2-1/2
34,3,49,14,1/2-1/2
38,3,38,7,1-0
34,3,46,13,1/2-1/2
35,7,39,13,1/2-1/2
29,12,34,9,1/2-1/2
25,5,34,5,1/2-1/2
32,7,32,3,1/2-1/2
34,9,38,13,0-1
33,4,38,6,1/2-1/2
35,6,38,9,1/2-1/2
35,9,47,13,1/2-1/2
36,8,52,16,1/2-1/2
35,3,31,5,1/2-1/2
38,6,34,2,0-1
31,7,46,17,0-1
28,7,46,15,1-0
29,11,41,6,1/2-1/2
31,7,32,7,0-1
39,5,37,7,1/2-1/2
38,8,37,10,1-0
26,11,23,0,0-1
29,8,36,9,1/2-1/2
37,6,42,12,1/2-1/2
28,9,38,11,1/2-1/2
34,9,40,9,1/2-1/2
34,10,44,12,1-0
38,9,41,8,1-0
32,7,41,5,1/2-1/2
37,6,44,11,1/2-1/2
25,5,41,13,1/2-1/2
32,5,37,6,0-1
31,4,42,11,1/2-1/2
33,6,37,10,1/2-1/2
32,9,38,9,1/2-1/2
32,10,39,13,0-1
37,4,32,6,0-1
34,8,36,8,1/2-1/2
35,10,52,18,0-1
34,2,45,13,1/2-1/2
37,9,42,11,1-0
35,3,35,4,1-0
34,7,39,6,1/2-1/2
33,10,39,12,1-0
34,6,49,13,1/2-1/2
36,6,45,15,1-0
29,4,41,10,1/2-1/2
38,5,41,7,0-1
35,7,48,9,1-0
35,8,41,2,1/2-1/2
31,10,48,13,0-1
35,7,51,12,1/2-1/2
34,12,48,17,1-0
39,9,39,11,1/2-1/2
33,8,27,5,0-1
34,8,41,12,0-1
39,6,33,8,1-0
33,4,28,3,0-1
34,5,39,10,1-0
34,5,39,10,1/2-1/2
35,4,46,10,1/2-1/2
39,5,41,12,1/2-1/2
36,3,30,4,1-0
25,4,37,8,1/2-1/2
32,2,38,4,1/2-1/2
39,3,36,4,1/2-1/2
34,10,46,16,0-1
31,8,41,13,1/2-1/2
34,9,43,10,1-0
38,5,34,5,0-1
37,3,42,5,1/2-1/2
25,6,40,13,1-0
31,9,38,10,1-0
35,7,48,14,1-0
29,10,32,8,0-1
37,8,50,14,0-1
36,8,40,9,1-0
35,4,40,8,1/2-1/2
37,3,31,7,1-0
35,11,32,7,1/2-1/2
31,7,46,10,1/2-1/2
35,8,40,10,1-0
33,3,31,2,1/2-1/2
35,4,37,7,1/2-1/2
39,4,35,3,1-0
29,7,38,5,0-1
32,8,44,8,1/2-1/2
32,12,42,15,1-0
29,11,34,7,0-1
39,5,36,4,0-1
31,7,33,7,0-1
38,10,35,13,1-0
35,6,44,10,1-0
39,2,33,2,1/2-1/2
33,10,50,19,1/2-1/2
35,6,33,4,1/2-1/2
37,12,48,10,0-1
35,8,54,18,1-0
33,5,33,10,1/2-1/2
32,5,47,10,1/2-1/2
36,12,32,3,1/2-1/2
38,7,39,8,0-1
39,5,39,10,1/2-1/2
35,13,38,10,1/2-1/2
39,3,30,3,1-0
36,8,36,10,0-1
18,3,19,2,1/2-1/2
22,25,30,8,1/2-1/2
35,5,42,5,1/2-1/2
35,4,48,9,1/2-1/2
35,4,48,9,1/2-1/2
38,5,39,4,1/2-1/2
37,6,47,8,1/2-1/2
37,4,48,13,1-0
37,6,39,8,1/2-1/2
36,5,34,3,1/2-1/2
31,4,40,11,1/2-1/2
39,5,36,4,1-0
35,13,41,16,1/2-1/2
26,5,35,4,1/2-1/2
34,3,37,9,1-0
28,7,45,9,1-0
29,10,35,8,1-0
35,6,38,9,1-0
34,7,38,8,1-0
35,3,39,5,1/2-1/2
38,15,51,18,1/2-1/2
34,3,37,9,1/2-1/2
34,11,46,16,1/2-1/2
31,4,39,6,1/2-1/2
32,5,43,11,1/2-1/2
35,4,42,4,0-1
38,10,48,13,1/2-1/2
35,8,48,14,1/2-1/2
35,4,42,4,1/2-1/2
39,5,38,7,1/2-1/2
34,7,49,11,1-0
38,4,39,7,1-0
33,8,39,7,0-1
22,5,37,7,1/2-1/2
37,9,49,17,0-1
32,10,49,12,1-0
36,5,39,5,1/2-1/2
33,7,37,9,1/2-1/2
35,13,57,16,1/2-1/2
34,2,41,6,1/2-1/2
31,9,44,15,1/2-1/2
37,23,51,28,1-0
33,3,46,9,1/2-1/2
34,16,43,25,1-0
37,6,35,8,1-0
36,5,38,7,0-1
34,11,49,21,1-0
37,5,45,13,1-0
35,9,37,6,1/2-1/2
31,7,42,11,1-0
35,6,33,5,0-1
24,9,30,6,1/2-1/2
39,4,28,2,1-0
38,11,34,11,1-0
33,8,46,16,1-0
36,6,36,9,1/2-1/2
35,7,39,11,1/2-1/2
34,4,39,9,0-1
31,9,47,15,1-0
36,7,43,10,1/2-1/2
39,6,38,10,1/2-1/2
35,2,41,4,1/2-1/2
38,20,42,22,1/2-1/2
31,8,31,10,0-1
34,16,47,21,1-0
24,4,40,8,1/2-1/2
39,5,28,4,1/2-1/2
32,7,39,13,1/2-1/2
32,18,41,13,1-0
35,8,36,10,1-0
37,5,35,6,0-1
32,7,42,19,1/2-1/2
26,2,32,4,1/2-1/2
24,7,30,9,1/2-1/2
36,3,40,5,1/2-1/2
35,4,30,3,1/2-1/2
30,10,37,14,0-1
35,3,35,7,1-0
38,4,40,9,1-0
26,4,40,10,1/2-1/2
35,7,44,11,0-1
25,3,27,4,1/2-1/2
32,7,36,8,1-0
39,4,28,3,0-1
35,7,39,6,1-0
31,7,33,8,1-0
35,3,38,5,1/2-1/2
35,4,39,4,1-0
34,3,41,7,1-0
31,8,44,12,1-0
35,10,37,12,1-0
36,6,34,5,1/2-1/2
34,13,51,15,1-0
37,6,42,12,1-0
39,3,35,8,0-1
36,6,27,3,1/2-1/2
36,9,39,11,0-1
36,7,33,10,0-1
33,3,34,5,1-0
30,7,37,9,1/2-1/2
34,5,36,8,1/2-1/2
36,5,45,15,1/2-1/2
33,4,27,3,1/2-1/2
38,2,37,7,1-0
38,2,33,5,1-0
28,2,31,3,1-0
33,4,38,9,1/2-1/2
35,10,40,16,1/2-1/2
34,11,39,12,1/2-1/2
34,3,41,7,1-0
38,3,34,7,1/2-1/2
35,3,39,8,1-0
31,10,38,16,1/2-1/2
31,5,34,6,1-0
26,11,41,13,1/2-1/2
31,7,41,9,1/2-1/2
34,18,56,22,1/2-1/2
37,6,40,7,0-1
20,11,34,7,1/2-1/2
36,7,43,11,1/2-1/2
32,4,35,7,1/2-1/2
35,4,40,5,1/2-1/2
38,3,47,11,1-0
38,15,51,18,1/2-1/2
38,4,32,1,1/2-1/2
38,6,29,5,1-0
32,10,29,8,0-1
36,7,41,6,1-0
26,10,42,14,1-0
22,9,32,12,1/2-1/2
35,3,40,8,1/2-1/2
35,3,35,3,1-0
37,14,55,24,1/2-1/2
37,17,38,22,0-1
35,6,46,11,1-0
36,6,37,8,1/2-1/2
35,6,36,8,1-0
39,4,29,6,1/2-1/2
37,10,49,14,0-1
38,9,45,13,1-0
34,3,46,12,1-0
35,5,40,8,1/2-1/2
34,12,46,14,1-0
33,6,35,8,1/2-1/2
29,4,45,11,0-1
38,8,43,13,1/2-1/2
32,14,45,17,1-0
39,5,34,5,0-1
39,7,37,9,1/2-1/2
30,11,33,12,1/2-1/2
23,6,31,4,1/2-1/2
35,5,38,11,1-0
23,7,41,12,1/2-1/2
34,14,48,18,1-0
35,6,36,5,1/2-1/2
37,6,49,12,1-0
29,6,45,9,1-0
38,4,41,5,1/2-1/2
35,3,41,4,1/2-1/2
35,9,46,11,1-0
38,5,34,3,1/2-1/2
25,8,34,10,1-0
33,6,39,8,1/2-1/2
34,3,37,9,1/2-1/2
37,13,52,16,1-0
33,3,38,7,0-1
33,8,39,10,1/2-1/2
35,7,47,12,1-0
32,8,40,8,1-0
28,6,43,12,1-0
33,3,37,6,1/2-1/2
35,8,50,14,1-0
31,14,44,16,1/2-1/2
36,5,41,7,1/2-1/2
22,11,38,12,1-0
37,7,48,16,1/2-1/2
32,7,49,13,1/2-1/2
34,7,49,10,1/2-1/2
35,10,41,8,1-0
36,5,37,9,1-0
38,7,40,11,0-1
38,7,38,7,1/2-1/2
34,9,42,10,1-0
35,5,45,11,1-0
35,6,45,11,1/2-1/2
38,5,35,7,0-1
35,2,32,6,1/2-1/2
35,6,46,11,1-0
37,9,37,10,1/2-1/2
29,3,38,9,0-1
30,6,37,3,1/2-1/2
35,4,39,7,1/2-1/2
38,5,40,14,1/2-1/2
37,6,40,11,1/2-1/2
35,4,26,2,1-0
35,10,42,4,1-0
23,7,34,12,1-0
39,2,34,4,1-0
37,5,36,9,1/2-1/2
33,13,48,18,1/2-1/2
34,8,35,9,0-1
34,9,43,12,1-0
38,6,29,5,1/2-1/2
35,5,43,9,1-0
35,7,46,8,1/2-1/2
29,10,39,13,1/2-1/2
38,9,42,12,1/2-1/2
38,9,48,17,1/2-1/2
36,7,36,10,1-0
34,4,41,9,0-1
35,4,45,9,1-0
36,7,36,9,1-0
32,5,34,5,1/2-1/2
32,8,38,7,1-0
25,4,34,8,1/2-1/2
26,2,31,1,1-0
33,3,37,6,1/2-1/2
39,5,37,6,1/2-1/2
28,6,42,11,1/2-1/2
32,6,38,8,1/2-1/2
23,5,29,3,1-0
35,2,40,7,1-0
36,4,34,6,1/2-1/2
34,7,51,15,1-0
35,5,34,11,1/2-1/2
37,6,45,8,1-0
38,3,34,5,0-1
31,3,36,9,1-0
28,6,32,3,1/2-1/2
32,5,30,3,1/2-1/2
35,4,42,5,0-1
39,7,32,5,0-1
36,5,52,12,1-0
35,11,38,4,1/2-1/2
37,5,36,6,1-0
32,7,30,5,1-0
36,9,38,5,0-1
39,5,36,4,0-1
32,7,37,7,0-1
34,9,39,10,1-0
32,4,38,0,1/2-1/2
26,5,33,5,1-0
35,3,33,1,0-1
22,4,31,7,1/2-1/2
32,5,36,3,1-0
30,6,34,6,1-0
33,2,34,6,1-0
38,6,29,5,1-0
35,4,34,4,1-0
29,6,30,5,0-1
39,5,44,11,0-1
35,12,46,16,1-0
38,3,26,2,1/2-1/2
31,14,46,23,1-0
28,45,44,12,1/2-1/2
37,6,36,9,1-0
38,3,34,7,1/2-1/2
38,3,26,3,1/2-1/2
36,9,39,12,1/2-1/2
38,5,43,7,1/2-1/2
38,11,41,4,1/2-1/2
34,3,37,9,1/2-1/2
37,13,50,16,1/2-1/2
35,5,31,2,1-0
35,3,44,9,1/2-1/2
36,4,36,4,1/2-1/2
35,13,50,17,0-1
38,8,48,13,1/2-1/2
31,6,37,9,1-0
35,3,26,2,1/2-1/2
35,10,40,16,1/2-1/2
34,5,38,7,1-0
34,10,43,15,1-0
37,5,43,6,1/2-1/2
34,8,48,17,1/2-1/2
38,11,35,4,1/2-1/2
36,3,34,4,1/2-1/2
38,4,46,8,1/2-1/2
37,2,34,8,0-1
34,7,43,7,0-1
34,9,50,16,1-0
35,3,43,7,1/2-1/2
39,7,21,0,1-0
39,6,34,8,1/2-1/2
32,8,48,12,1/2-1/2
32,6,36,11,1/2-1/2
35,7,39,11,1-0
34,4,51,12,1/2-1/2
31,7,44,12,1/2-1/2
37,7,48,16,1-0
29,9,38,13,1/2-1/2
34,5,39,11,1/2-1/2
39,4,36,7,1/2-1/2
35,8,49,11,1/2-1/2
35,14,44,19,1/2-1/2
34,3,37,9,1-0
18,3,19,2,1/2-1/2
32,7,49,13,1/2-1/2
34,3,36,9,1-0
37,5,41,9,0-1
38,3,34,7,1/2-1/2
34,3,37,9,0-1
31,7,46,11,1/2-1/2
36,5,40,9,1-0
35,3,36,8,0-1
31,9,33,6,1-0
35,5,31,3,1-0
33,4,25,2,0-1
38,3,34,7,1-0
35,9,47,9,1/2-1/2
32,5,38,10,1/2-1/2
35,3,41,7,0-1
38,12,38,4,1-0
35,2,41,8,1/2-1/2
38,5,38,6,1-0
23,3,23,2,0-1
30,4,41,8,1-0
32,11,45,14,1-0
36,5,34,5,1/2-1/2
34,10,47,13,0-1
35,3,44,9,1/2-1/2
38,3,26,3,1/2-1/2
32,7,34,7,1-0
34,7,43,7,1-0
35,7,49,10,1/2-1/2
36,5,44,11,1/2-1/2
34,6,44,12,1/2-1/2
32,8,34,10,1/2-1/2
38,3,30,4,1-0
35,4,36,9,1-0
35,7,40,8,1/2-1/2
35,12,52,15,1/2-1/2
34,4,36,7,1-0
35,5,43,8,1/2-1/2
35,8,28,5,1/2-1/2
39,5,43,10,1/2-1/2
37,9,50,18,1/2-1/2
36,5,32,4,1/2-1/2
36,7,42,11,1/2-1/2
39,8,38,9,1/2-1/2
35,9,49,11,1/2-1/2
36,3,39,7,1-0
34,4,40,11,1/2-1/2
25,8,33,7,1/2-1/2
35,6,43,6,1/2-1/2
37,7,44,13,1/2-1/2
35,3,45,9,1/2-1/2
35,5,52,15,0-1
22,12,38,15,1-0
34,4,42,9,0-1
33,5,37,8,1/2-1/2
38,7,36,4,1-0
35,8,48,13,1/2-1/2
38,6,36,9,1-0
37,5,52,12,1-0
32,5,25,2,1/2-1/2
35,3,46,6,1/2-1/2
34,5,48,10,1-0
35,7,37,10,1/2-1/2
31,4,40,10,1/2-1/2
34,12,50,18,0-1
35,4,36,5,1/2-1/2
35,13,36,13,1/2-1/2
34,24,54,38,1/2-1/2
33,7,37,6,1/2-1/2
29,8,36,10,1-0
32,7,45,15,1-0
